time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-09 00:00:00+00:00,2,2,3.0,1.0
2025-10-10 00:00:00+00:00,4,4,10.0,4.0
2025-10-11 00:00:00+00:00,5,5,10.0,2.0
2025-10-12 00:00:00+00:00,2,2,13.0,3.0
2025-10-13 00:00:00+00:00,1,1,,
2025-10-14 00:00:00+00:00,10,3,7.0,2.0
2025-10-15 00:00:00+00:00,13,3,34.0,6.0
2025-10-16 00:00:00+00:00,12,6,77.0,9.0
2025-10-17 00:00:00+00:00,8,3,48.0,6.0
2025-10-18 00:00:00+00:00,3,3,33.0,4.0
2025-10-19 00:00:00+00:00,7,2,1.0,1.0
2025-10-20 00:00:00+00:00,6,5,1.0,1.0
2025-10-21 00:00:00+00:00,40,10,16.0,3.0
2025-10-22 00:00:00+00:00,9,4,227.0,9.0
