time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-30 00:00:00+00:00,13,6,1,1
2025-12-31 00:00:00+00:00,13,9,3,3
2026-01-01 00:00:00+00:00,7,3,14,3
2026-01-02 00:00:00+00:00,4,4,0,0
2026-01-03 00:00:00+00:00,7,3,54,7
2026-01-04 00:00:00+00:00,14,6,50,7
2026-01-05 00:00:00+00:00,5,5,15,4
2026-01-06 00:00:00+00:00,9,6,29,5
2026-01-07 00:00:00+00:00,4,4,15,6
2026-01-08 00:00:00+00:00,3,3,6,2
2026-01-09 00:00:00+00:00,7,3,9,1
2026-01-10 00:00:00+00:00,15,7,1,1
2026-01-11 00:00:00+00:00,4,4,1,1
2026-01-12 00:00:00+00:00,12,4,3,1
