time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,1.0,1.0,16,1
2024-07-26 00:00:00+00:00,,,39,3
2024-07-27 00:00:00+00:00,,,145,2
2024-07-28 00:00:00+00:00,,,3,2
2024-07-29 00:00:00+00:00,,,13,1
2024-07-30 00:00:00+00:00,,,88,2
2024-07-31 00:00:00+00:00,,,185,9
2024-08-01 00:00:00+00:00,,,170,15
2024-08-02 00:00:00+00:00,3.0,1.0,2,1
2024-08-03 00:00:00+00:00,1.0,1.0,76,5
2024-08-04 00:00:00+00:00,,,44,3
2024-08-05 00:00:00+00:00,1.0,1.0,44,1
2024-08-06 00:00:00+00:00,3.0,2.0,2,1
2024-08-07 00:00:00+00:00,,,55,1
