time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-31 00:00:00+00:00,1,1,2,2
2024-06-01 00:00:00+00:00,1,1,1,1
2024-06-02 00:00:00+00:00,5,2,146,1
2024-06-03 00:00:00+00:00,7,4,509,4
2024-06-04 00:00:00+00:00,1,1,203,2
2024-06-05 00:00:00+00:00,2,2,299,6
2024-06-06 00:00:00+00:00,1,1,404,4
2024-06-07 00:00:00+00:00,5,2,79,6
2024-06-08 00:00:00+00:00,8,4,48,3
2024-06-09 00:00:00+00:00,1,1,58,4
2024-06-10 00:00:00+00:00,2,2,46,3
2024-06-11 00:00:00+00:00,1,1,112,5
2024-06-12 00:00:00+00:00,1,1,39,3
2024-06-13 00:00:00+00:00,1,1,24,4
