time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-25 00:00:00+00:00,2.0,2.0,14,5
2023-11-26 00:00:00+00:00,2.0,2.0,68,4
2023-11-27 00:00:00+00:00,3.0,3.0,11,7
2023-11-28 00:00:00+00:00,2.0,2.0,2,1
2023-11-29 00:00:00+00:00,2.0,2.0,45,4
2023-11-30 00:00:00+00:00,2.0,2.0,68,10
2023-12-01 00:00:00+00:00,2.0,2.0,39,7
2023-12-02 00:00:00+00:00,2.0,2.0,14,3
2023-12-03 00:00:00+00:00,3.0,2.0,5,2
2023-12-04 00:00:00+00:00,3.0,3.0,7,3
2023-12-05 00:00:00+00:00,3.0,3.0,37,3
2023-12-06 00:00:00+00:00,2.0,2.0,3,2
2023-12-07 00:00:00+00:00,2.0,2.0,4,3
2023-12-08 00:00:00+00:00,,,2,1
