time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-28 00:00:00+00:00,11,7,8,7
2026-01-29 00:00:00+00:00,8,4,4,3
2026-01-30 00:00:00+00:00,11,7,7,3
2026-01-31 00:00:00+00:00,18,7,3,3
2026-02-01 00:00:00+00:00,9,5,18,4
2026-02-02 00:00:00+00:00,4,4,5,5
2026-02-03 00:00:00+00:00,10,6,27,6
2026-02-04 00:00:00+00:00,21,9,30,5
2026-02-05 00:00:00+00:00,9,5,9,5
2026-02-06 00:00:00+00:00,3,3,27,6
2026-02-07 00:00:00+00:00,4,4,10,7
2026-02-08 00:00:00+00:00,7,3,3,3
2026-02-09 00:00:00+00:00,4,4,10,8
2026-02-10 00:00:00+00:00,2,2,18,6
