time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-19 00:00:00+00:00,1.0,1.0,3,3
2025-01-20 00:00:00+00:00,2.0,1.0,36,11
2025-01-21 00:00:00+00:00,,,14,11
2025-01-22 00:00:00+00:00,2.0,1.0,18,5
2025-01-23 00:00:00+00:00,2.0,1.0,20,3
2025-01-24 00:00:00+00:00,2.0,2.0,13,3
2025-01-25 00:00:00+00:00,2.0,1.0,12,7
2025-01-26 00:00:00+00:00,,,33,8
2025-01-27 00:00:00+00:00,,,48,11
2025-01-28 00:00:00+00:00,2.0,1.0,5,4
2025-01-29 00:00:00+00:00,,,41,5
2025-01-30 00:00:00+00:00,5.0,2.0,20,10
2025-01-31 00:00:00+00:00,5.0,2.0,69,13
2025-02-01 00:00:00+00:00,1.0,1.0,20,3
